timestamp,approach_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m
0,1i,0,,,
0,2i,0,,,
0,3i,0,,,
0,4i,0,,,
5,1i,0,,,
5,2i,0,,,
5,3i,1,19.3323,396.79,396.79
5,4i,0,,,
10,1i,0,,,
10,2i,0,,,
10,3i,1,19.0252,301.45,301.45
10,4i,0,,,
15,1i,0,,,
15,2i,0,,,
15,3i,1,19.3843,205.35,205.35
15,4i,0,,,
20,1i,0,,,
20,2i,0,,,
20,3i,1,19.2587,109.77,109.77
20,4i,0,,,
25,1i,0,,,
25,2i,0,,,
25,3i,1,13.143,23.57,23.57
25,4i,0,,,
30,1i,0,,,
30,2i,0,,,
30,3i,1,0.0,1.0,1.0
30,4i,0,,,
35,1i,0,,,
35,2i,0,,,
35,3i,0,,,
35,4i,0,,,
40,1i,0,,,
40,2i,0,,,
40,3i,0,,,
40,4i,0,,,
45,1i,0,,,
45,2i,0,,,
45,3i,0,,,
45,4i,0,,,
50,1i,0,,,
50,2i,0,,,
50,3i,0,,,
50,4i,0,,,
55,1i,0,,,
55,2i,0,,,
55,3i,0,,,
55,4i,0,,,
60,1i,0,,,
60,2i,0,,,
60,3i,0,,,
60,4i,0,,,
65,1i,0,,,
65,2i,1,19.193,396.98,396.98
65,3i,0,,,
65,4i,0,,,
70,1i,0,,,
70,2i,1,19.2438,300.64,300.64
70,3i,0,,,
70,4i,0,,,
75,1i,0,,,
75,2i,1,18.0413,206.77,206.77
75,3i,0,,,
75,4i,0,,,
80,1i,0,,,
80,2i,1,17.2443,121.76,121.76
80,3i,0,,,
80,4i,0,,,
85,1i,0,,,
85,2i,1,15.959,39.32,39.32
85,3i,0,,,
85,4i,0,,,
90,1i,0,,,
90,2i,1,1.663,1.0,1.0
90,3i,0,,,
90,4i,0,,,
95,1i,1,23.892,383.74,383.74
95,2i,1,0.0,1.0,1.0
95,3i,0,,,
95,4i,0,,,
100,1i,1,23.7672,265.18,265.18
100,2i,1,0.0,1.0,1.0
100,3i,0,,,
100,4i,0,,,
105,1i,1,23.8662,145.59,145.59
105,2i,1,0.0,1.0,1.0
105,3i,0,,,
105,4i,0,,,
110,1i,1,16.358,40.45,40.45
110,2i,1,0.0,1.0,1.0
110,3i,0,,,
110,4i,0,,,
115,1i,1,2.0885,1.0,1.0
115,2i,1,0.0,1.0,1.0
115,3i,0,,,
115,4i,0,,,
120,1i,1,0.0,1.0,1.0
120,2i,1,0.0,1.0,1.0
120,3i,0,,,
120,4i,0,,,
125,1i,1,0.0,1.0,1.0
125,2i,1,0.0,1.0,1.0
125,3i,0,,,
125,4i,0,,,
130,1i,1,0.0,1.0,1.0
130,2i,1,0.0,1.0,1.0
130,3i,0,,,
130,4i,0,,,
135,1i,1,0.0,1.0,1.0
135,2i,1,0.0,1.0,1.0
135,3i,0,,,
135,4i,0,,,
140,1i,0,,,
140,2i,0,,,
140,3i,0,,,
140,4i,0,,,
145,1i,0,,,
145,2i,0,,,
145,3i,0,,,
145,4i,0,,,
150,1i,0,,,
150,2i,0,,,
150,3i,0,,,
150,4i,0,,,
155,1i,0,,,
155,2i,0,,,
155,3i,0,,,
155,4i,0,,,
160,1i,0,,,
160,2i,0,,,
160,3i,0,,,
160,4i,0,,,
165,1i,0,,,
165,2i,1,24.5661,433.7,433.7
165,3i,0,,,
165,4i,0,,,
170,1i,0,,,
170,2i,1,26.0835,305.51,305.51
170,3i,0,,,
170,4i,0,,,
175,1i,0,,,
175,2i,1,25.4415,180.23,180.23
175,3i,0,,,
175,4i,0,,,
180,1i,0,,,
180,2i,1,15.1683,82.94,82.94
180,3i,0,,,
180,4i,0,,,
185,1i,0,,,
185,2i,2,15.5182,43.34,375.84
185,3i,0,,,
185,4i,0,,,
190,1i,0,,,
190,2i,2,13.8967,39.72,241.15
190,3i,0,,,
190,4i,0,,,
195,1i,0,,,
195,2i,2,10.395,39.72,117.58
195,3i,0,,,
195,4i,0,,,
200,1i,0,,,
200,2i,2,4.0193,39.72,51.65
200,3i,0,,,
200,4i,0,,,
205,1i,0,,,
205,2i,2,0.0034,39.72,43.72
205,3i,0,,,
205,4i,0,,,
210,1i,0,,,
210,2i,2,0.0,39.72,43.72
210,3i,0,,,
210,4i,0,,,
215,1i,0,,,
215,2i,2,0.0,39.72,43.72
215,3i,0,,,
215,4i,0,,,
220,1i,0,,,
220,2i,2,0.0,39.72,43.72
220,3i,0,,,
220,4i,0,,,
225,1i,0,,,
225,2i,2,0.0,39.72,43.72
225,3i,0,,,
225,4i,0,,,
230,1i,0,,,
230,2i,2,0.0,39.72,43.72
230,3i,0,,,
